Date/Time,Word Count,en,fr,zh
2021.11.30-09.00.00,0,0,0,0
2021.11.30-09.01.06,57,0,57,0
2021.11.30-09.06.18,57,51,57,0
2021.11.30-09.25.05,101,51,101,0
2021.11.30-09.33.42,101,54,101,0
2021.11.30-10.14.03,57,51,57,0
2021.11.30-13.23.54,64,51,64,0
2021.11.30-13.25.36,64,64,64,0
2021.11.30-13.33.41,64,64,64,63
2021.11.30-13.34.07,64,64,64,64
2021.11.30-13.35.27,65,64,65,64
2021.11.30-13.36.04,65,64,65,65
2021.11.30-13.36.39,65,65,65,65
2022.01.08-09.52.25,68,65,68,65
2022.01.08-09.53.08,68,68,68,65
2022.02.09-10.03.24,69,68,69,65
2022.03.15-11.05.21,67,65,67,62
2022.03.15-11.06.11,67,67,67,62
2022.03.17-16.06.14,78,66,78,61
2022.03.17-16.27.09,78,78,78,61
2022.03.17-16.37.15,78,78,78,77
2022.03.17-16.41.49,78,78,78,78
2022.03.17-16.48.49,80,78,80,78
2022.03.17-16.51.30,80,80,80,80
2022.04.12-11.21.34,81,80,81,80
2022.04.12-11.28.57,82,80,82,80
2022.04.12-11.38.22,82,81,82,82
2022.04.12-11.38.50,82,82,82,82
2022.04.12-12.22.54,87,82,87,82
2022.04.12-12.30.50,87,87,87,87
